n,comparacoes,trocas
10,25,16
20,87,70
30,242,217
40,460,422
50,608,560
60,961,905
70,1029,964
80,1678,1601
90,1881,1794
100,2299,2203
110,3191,3086
120,3321,3207
130,4259,4135
140,5216,5081
150,5590,5445
160,6737,6582
170,6930,6767
180,7842,7667
190,9706,9521
200,10270,10076
210,10863,10656
220,11749,11531
230,12895,12668
240,14877,14641
250,15069,14825
260,17532,17275
270,18105,17840
280,19252,18982
290,19521,19235
300,23348,23054
310,23762,23455
320,25463,25150
330,26689,26367
340,28159,27822
350,30337,29994
360,31617,31263
370,34919,34553
380,37811,37434
390,36540,36153
400,40227,39831
410,43434,43026
420,43776,43362
430,44105,43679
440,49643,49208
450,51635,51189
460,55002,54547
470,56004,55541
480,51100,50626
490,55977,55493
500,63529,63037
510,65054,64552
520,65624,65109
530,70347,69819
540,73882,73346
550,73317,72772
560,76332,75776
570,76953,76389
580,84612,84035
590,89685,89098
600,90857,90263
610,92104,91500
620,93510,92895
630,96559,95939
640,103340,102707
650,101360,100713
660,108696,108040
670,112633,111969
680,113473,112796
690,123871,123190
700,123490,122793
710,130207,129507
720,129743,129030
730,139285,138560
740,140181,139444
750,140805,140060
760,150969,150216
770,148014,147249
780,152541,151765
790,152261,151475
800,155108,154315
810,165829,165028
820,173859,173043
830,168343,167516
840,171805,170969
850,173912,173066
860,188662,187807
870,189112,188245
880,195211,194338
890,201530,200645
900,195573,194678
910,202228,201323
920,212951,212038
930,207603,206676
940,221877,220942
950,222293,221348
960,230806,229849
970,230958,229991
980,241615,240638
990,237764,236777
1000,249320,248322
