n,comparacoes,trocas
10,9,0
20,19,0
30,29,0
40,39,0
50,49,0
60,59,0
70,69,0
80,79,0
90,89,0
100,99,0
110,109,0
120,119,0
130,129,0
140,139,0
150,149,0
160,159,0
170,169,0
180,179,0
190,189,0
200,199,0
210,209,0
220,219,0
230,229,0
240,239,0
250,249,0
260,259,0
270,269,0
280,279,0
290,289,0
300,299,0
310,309,0
320,319,0
330,329,0
340,339,0
350,349,0
360,359,0
370,369,0
380,379,0
390,389,0
400,399,0
410,409,0
420,419,0
430,429,0
440,439,0
450,449,0
460,459,0
470,469,0
480,479,0
490,489,0
500,499,0
510,509,0
520,519,0
530,529,0
540,539,0
550,549,0
560,559,0
570,569,0
580,579,0
590,589,0
600,599,0
610,609,0
620,619,0
630,629,0
640,639,0
650,649,0
660,659,0
670,669,0
680,679,0
690,689,0
700,699,0
710,709,0
720,719,0
730,729,0
740,739,0
750,749,0
760,759,0
770,769,0
780,779,0
790,789,0
800,799,0
810,809,0
820,819,0
830,829,0
840,839,0
850,849,0
860,859,0
870,869,0
880,879,0
890,889,0
900,899,0
910,909,0
920,919,0
930,929,0
940,939,0
950,949,0
960,959,0
970,969,0
980,979,0
990,989,0
1000,999,0
