n,comparacoes,trocas
10,25,15
20,60,33
30,113,54
40,161,86
50,224,120
60,276,145
70,331,170
80,416,220
90,470,239
100,547,282
110,616,330
120,683,351
130,751,369
140,808,405
150,897,468
160,985,492
170,1063,555
180,1112,568
190,1204,609
200,1274,638
210,1362,698
220,1434,733
230,1508,770
240,1592,803
250,1683,842
260,1754,882
270,1843,938
280,1933,990
290,1996,1007
300,2104,1055
310,2169,1107
320,2251,1147
330,2337,1227
340,2463,1269
350,2522,1275
360,2626,1336
370,2705,1394
380,2783,1395
390,2884,1470
400,2963,1509
410,3038,1556
420,3134,1607
430,3229,1628
440,3352,1708
450,3393,1715
460,3480,1762
470,3594,1836
480,3685,1851
490,3740,1883
500,3853,1951
510,3959,1998
520,4040,2002
530,4133,2101
540,4221,2131
550,4313,2196
560,4404,2238
570,4519,2283
580,4613,2320
590,4713,2410
600,4809,2458
610,4929,2545
620,4967,2522
630,5081,2569
640,5146,2613
650,5263,2683
660,5362,2727
670,5444,2751
680,5566,2835
690,5688,2923
700,5746,2938
710,5857,3003
720,5946,3029
730,6023,3058
740,6140,3144
750,6219,3167
760,6355,3251
770,6413,3250
780,6520,3307
790,6609,3353
800,6729,3389
810,6826,3496
820,6918,3526
830,7026,3593
840,7112,3605
850,7224,3701
860,7303,3704
870,7424,3766
880,7500,3805
890,7590,3822
900,7633,3848
910,7802,3954
920,7891,4012
930,8001,4058
940,8085,4084
950,8182,4130
960,8278,4130
970,8394,4243
980,8512,4300
990,8591,4318
1000,8700,4366
