n,comparacoes,trocas
10,15,0
20,40,0
30,71,0
40,100,0
50,133,0
60,172,0
70,205,0
80,240,0
90,275,0
100,316,0
110,357,0
120,404,0
130,451,0
140,480,0
150,515,0
160,560,0
170,595,0
180,640,0
190,691,0
200,732,0
210,775,0
220,824,0
230,873,0
240,928,0
250,983,0
260,1032,0
270,1063,0
280,1100,0
290,1141,0
300,1180,0
310,1225,0
320,1280,0
330,1315,0
340,1360,0
350,1411,0
360,1460,0
370,1513,0
380,1572,0
390,1619,0
400,1664,0
410,1709,0
420,1760,0
430,1811,0
440,1868,0
450,1927,0
460,1976,0
470,2031,0
480,2096,0
490,2151,0
500,2216,0
510,2287,0
520,2324,0
530,2357,0
540,2396,0
550,2435,0
560,2480,0
570,2525,0
580,2572,0
590,2613,0
600,2660,0
610,2711,0
620,2760,0
630,2815,0
640,2880,0
650,2915,0
660,2960,0
670,3011,0
680,3060,0
690,3113,0
700,3172,0
710,3225,0
720,3280,0
730,3335,0
740,3396,0
750,3457,0
760,3524,0
770,3589,0
780,3628,0
790,3673,0
800,3728,0
810,3773,0
820,3828,0
830,3889,0
840,3940,0
850,3993,0
860,4052,0
870,4111,0
880,4176,0
890,4241,0
900,4304,0
910,4355,0
920,4412,0
930,4473,0
940,4532,0
950,4597,0
960,4672,0
970,4727,0
980,4792,0
990,4863,0
1000,4932,0
