n,comparacoes,trocas
10,19,19
20,48,48
30,77,77
40,116,116
50,153,153
60,184,184
70,227,227
80,272,272
90,317,317
100,356,356
110,395,395
120,428,428
130,463,463
140,524,524
150,579,579
160,624,624
170,679,679
180,724,724
190,763,763
200,812,812
210,859,859
220,900,900
230,941,941
240,976,976
250,1011,1011
260,1056,1056
270,1125,1125
280,1188,1188
290,1247,1247
300,1308,1308
310,1363,1363
320,1408,1408
330,1473,1473
340,1528,1528
350,1577,1577
360,1628,1628
370,1675,1675
380,1716,1716
390,1769,1769
400,1824,1824
410,1879,1879
420,1928,1928
430,1977,1977
440,2020,2020
450,2061,2061
460,2112,2112
470,2157,2157
480,2192,2192
490,2237,2237
500,2272,2272
510,2301,2301
520,2372,2372
530,2449,2449
540,2520,2520
550,2591,2591
560,2656,2656
570,2721,2721
580,2784,2784
590,2853,2853
600,2916,2916
610,2975,2975
620,3036,3036
630,3091,3091
640,3136,3136
650,3211,3211
660,3276,3276
670,3335,3335
680,3396,3396
690,3453,3453
700,3504,3504
710,3561,3561
720,3616,3616
730,3671,3671
740,3720,3720
750,3769,3769
760,3812,3812
770,3857,3857
780,3928,3928
790,3993,3993
800,4048,4048
810,4113,4113
820,4168,4168
830,4217,4217
840,4276,4276
850,4333,4333
860,4384,4384
870,4435,4435
880,4480,4480
890,4525,4525
900,4572,4572
910,4631,4631
920,4684,4684
930,4733,4733
940,4784,4784
950,4829,4829
960,4864,4864
970,4919,4919
980,4964,4964
990,5003,5003
1000,5044,5044
