n,comparacoes,trocas
10,22,7
20,81,25
30,124,67
40,211,106
50,263,146
60,319,119
70,376,226
80,504,260
90,582,312
100,561,301
110,641,309
120,827,399
130,895,558
140,1056,519
150,988,525
160,1308,806
170,1239,665
180,1321,709
190,1363,800
200,1583,867
210,1473,780
220,1885,992
230,1825,958
240,1907,1054
250,2115,1174
260,2107,1058
270,2567,1383
280,2862,2171
290,2500,1513
300,2817,2028
310,2404,1467
320,3247,2019
330,3346,1873
340,3100,1803
350,3290,1896
360,3473,2103
370,3892,2152
380,3745,2268
390,4021,2410
400,3987,2563
410,3552,2211
420,4151,2353
430,4207,2836
440,4623,2582
450,4191,2499
460,4127,2496
470,4205,2604
480,4668,2465
490,5285,3246
500,4931,3139
510,5200,2973
520,5052,3372
530,5516,3727
540,5370,3159
550,6017,3979
560,5894,4153
570,6825,4587
580,7187,4599
590,6072,3495
600,6769,4306
610,6532,4097
620,7637,4750
630,6517,4349
640,7033,4126
650,7514,5002
660,7782,4578
670,7132,4594
680,7357,5028
690,7881,5772
700,8704,5448
710,7610,4361
720,8311,5495
730,7910,5309
740,9485,6246
750,8965,5749
760,8161,5712
770,8815,5941
780,9456,5518
790,9549,6087
800,9165,5965
810,9407,6231
820,9912,6331
830,10026,6612
840,10192,6865
850,9820,6590
860,10251,7464
870,10484,7415
880,11424,7811
890,11165,7353
900,10798,7372
910,11057,8396
920,11650,8072
930,11299,7112
940,11807,8165
950,12795,8430
960,11642,8189
970,13337,9098
980,12450,8464
990,12887,8245
1000,13655,9591
