n,comparacoes,trocas
10,19,7
20,54,22
30,94,45
40,143,62
50,193,86
60,243,116
70,300,138
80,360,162
90,420,189
100,480,219
110,540,252
120,600,288
130,663,323
140,733,343
150,803,369
160,873,402
170,943,429
180,1013,464
190,1083,507
200,1153,535
210,1223,569
220,1293,609
230,1363,648
240,1433,692
250,1503,739
260,1578,774
270,1658,797
280,1738,823
290,1818,854
300,1898,884
310,1978,920
320,2058,962
330,2138,989
340,2218,1024
350,2298,1067
360,2378,1104
370,2458,1148
380,2538,1198
390,2618,1233
400,2698,1267
410,2778,1304
420,2858,1344
430,2938,1387
440,3018,1433
450,3098,1481
460,3178,1521
470,3258,1567
480,3338,1620
490,3418,1667
500,3498,1722
510,3578,1785
520,3667,1806
530,3757,1830
540,3847,1860
550,3937,1889
560,4027,1923
570,4117,1960
580,4207,1995
590,4297,2028
600,4387,2064
610,4477,2105
620,4567,2145
630,4657,2191
640,4747,2242
650,4837,2269
660,4927,2304
670,5017,2347
680,5107,2384
690,5197,2428
700,5287,2478
710,5377,2520
720,5467,2564
730,5557,2611
740,5647,2661
750,5737,2714
760,5827,2770
770,5917,2822
780,6007,2852
790,6097,2888
800,6187,2931
810,6277,2968
820,6367,3013
830,6457,3066
840,6547,3104
850,6637,3148
860,6727,3198
870,6817,3247
880,6907,3301
890,6997,3358
900,7087,3408
910,7177,3451
920,7267,3497
930,7357,3548
940,7447,3598
950,7537,3654
960,7627,3716
970,7717,3763
980,7807,3818
990,7897,3881
1000,7987,3938
