n,comparacoes,trocas
10,21,12
20,58,33
30,102,50
40,156,78
50,203,107
60,264,135
70,316,169
80,386,201
90,446,239
100,514,271
110,567,285
120,634,320
130,699,353
140,776,396
150,857,428
160,935,494
170,1004,524
180,1088,569
190,1143,595
200,1225,639
210,1293,677
220,1379,715
230,1442,733
240,1500,759
250,1588,814
260,1669,848
270,1749,892
280,1823,936
290,1898,978
300,1996,1013
310,2081,1068
320,2185,1138
330,2262,1174
340,2358,1237
350,2418,1254
360,2529,1340
370,2584,1344
380,2702,1410
390,2753,1426
400,2856,1471
410,2938,1522
420,3030,1574
430,3073,1569
440,3170,1627
450,3244,1652
460,3358,1725
470,3415,1745
480,3508,1795
490,3596,1833
500,3696,1883
510,3773,1906
520,3866,1948
530,3936,1999
540,4070,2070
550,4122,2101
560,4225,2143
570,4302,2194
580,4389,2230
590,4481,2272
600,4568,2317
610,4685,2364
620,4767,2402
630,4902,2534
640,5020,2589
650,5088,2636
660,5197,2694
670,5261,2704
680,5386,2792
690,5459,2835
700,5584,2871
710,5642,2946
720,5721,2970
730,5856,3025
740,5936,3065
750,6001,3081
760,6114,3162
770,6209,3198
780,6353,3301
790,6411,3318
800,6525,3366
810,6593,3421
820,6737,3499
830,6744,3474
840,6878,3555
850,6938,3567
860,7103,3665
870,7140,3656
880,7223,3686
890,7360,3771
900,7446,3826
910,7492,3836
920,7601,3889
930,7710,3914
940,7847,4030
950,7877,4035
960,8015,4114
970,8047,4067
980,8230,4206
990,8301,4230
1000,8406,4262
