n,comparacoes,trocas
10,45,0
20,190,0
30,435,0
40,780,0
50,1225,0
60,1770,0
70,2415,0
80,3160,0
90,4005,0
100,4950,0
110,5995,0
120,7140,0
130,8385,0
140,9730,0
150,11175,0
160,12720,0
170,14365,0
180,16110,0
190,17955,0
200,19900,0
210,21945,0
220,24090,0
230,26335,0
240,28680,0
250,31125,0
260,33670,0
270,36315,0
280,39060,0
290,41905,0
300,44850,0
310,47895,0
320,51040,0
330,54285,0
340,57630,0
350,61075,0
360,64620,0
370,68265,0
380,72010,0
390,75855,0
400,79800,0
410,83845,0
420,87990,0
430,92235,0
440,96580,0
450,101025,0
460,105570,0
470,110215,0
480,114960,0
490,119805,0
500,124750,0
510,129795,0
520,134940,0
530,140185,0
540,145530,0
550,150975,0
560,156520,0
570,162165,0
580,167910,0
590,173755,0
600,179700,0
610,185745,0
620,191890,0
630,198135,0
640,204480,0
650,210925,0
660,217470,0
670,224115,0
680,230860,0
690,237705,0
700,244650,0
710,251695,0
720,258840,0
730,266085,0
740,273430,0
750,280875,0
760,288420,0
770,296065,0
780,303810,0
790,311655,0
800,319600,0
810,327645,0
820,335790,0
830,344035,0
840,352380,0
850,360825,0
860,369370,0
870,378015,0
880,386760,0
890,395605,0
900,404550,0
910,413595,0
920,422740,0
930,431985,0
940,441330,0
950,450775,0
960,460320,0
970,469965,0
980,479710,0
990,489555,0
1000,499500,0
