n,comparacoes,trocas
10,45,5
20,190,10
30,435,15
40,780,20
50,1225,25
60,1770,30
70,2415,35
80,3160,40
90,4005,45
100,4950,50
110,5995,55
120,7140,60
130,8385,65
140,9730,70
150,11175,75
160,12720,80
170,14365,85
180,16110,90
190,17955,95
200,19900,100
210,21945,105
220,24090,110
230,26335,115
240,28680,120
250,31125,125
260,33670,130
270,36315,135
280,39060,140
290,41905,145
300,44850,150
310,47895,155
320,51040,160
330,54285,165
340,57630,170
350,61075,175
360,64620,180
370,68265,185
380,72010,190
390,75855,195
400,79800,200
410,83845,205
420,87990,210
430,92235,215
440,96580,220
450,101025,225
460,105570,230
470,110215,235
480,114960,240
490,119805,245
500,124750,250
510,129795,255
520,134940,260
530,140185,265
540,145530,270
550,150975,275
560,156520,280
570,162165,285
580,167910,290
590,173755,295
600,179700,300
610,185745,305
620,191890,310
630,198135,315
640,204480,320
650,210925,325
660,217470,330
670,224115,335
680,230860,340
690,237705,345
700,244650,350
710,251695,355
720,258840,360
730,266085,365
740,273430,370
750,280875,375
760,288420,380
770,296065,385
780,303810,390
790,311655,395
800,319600,400
810,327645,405
820,335790,410
830,344035,415
840,352380,420
850,360825,425
860,369370,430
870,378015,435
880,386760,440
890,395605,445
900,404550,450
910,413595,455
920,422740,460
930,431985,465
940,441330,470
950,450775,475
960,460320,480
970,469965,485
980,479710,490
990,489555,495
1000,499500,500
